iter	Passed	Remaining
752	20496	6723
753	20517	6693
754	20540	6665
755	20571	6639
756	20593	6610
757	20617	6582
758	20636	6552
759	20657	6523
760	20676	6493
761	20701	6465
762	20733	6440
763	20755	6411
764	20777	6382
765	20802	6354
766	20826	6326
767	20851	6298
768	20875	6270
769	20895	6241
770	20920	6213
771	20946	6186
772	20960	6155
773	20985	6127
774	21009	6099
775	21034	6071
776	21060	6044
777	21080	6015
778	21108	5988
779	21123	5957
780	21140	5928
781	21155	5897
782	21169	5866
783	21182	5835
784	21197	5805
785	21211	5775
786	21226	5744
787	21244	5715
788	21259	5685
789	21275	5655
790	21289	5625
791	21304	5595
792	21317	5564
793	21331	5534
794	21345	5504
795	21362	5474
796	21376	5444
797	21390	5414
798	21405	5384
799	21427	5356
800	21449	5328
801	21475	5301
802	21499	5274
803	21522	5246
804	21547	5219
805	21577	5193
806	21601	5166
807	21628	5139
808	21650	5111
809	21675	5084
810	21702	5057
811	21731	5031
812	21753	5003
813	21777	4976
814	21801	4948
815	21829	4922
816	21865	4897
817	21888	4870
818	21914	4843
819	21943	4816
820	21965	4789
821	21986	4760
822	22010	4733
823	22033	4706
824	22047	4676
825	22068	4648
826	22084	4619
827	22106	4592
828	22125	4563
829	22146	4536
830	22167	4508
831	22188	4480
832	22215	4453
833	22247	4428
834	22273	4401
835	22301	4374
836	22332	4349
837	22361	4322
838	22389	4296
839	22416	4269
840	22441	4242
841	22475	4217
842	22507	4191
843	22534	4165
844	22564	4138
845	22589	4111
846	22626	4087
847	22659	4061
848	22681	4034
849	22708	4007
850	22728	3979
851	22744	3950
852	22759	3922
853	22786	3895
854	22813	3868
855	22841	3842
856	22865	3815
857	22896	3789
858	22926	3763
859	22949	3736
860	22975	3709
861	23000	3682
862	23021	3654
863	23039	3626
864	23057	3598
865	23073	3570
866	23088	3541
867	23108	3514
868	23132	3487
869	23152	3459
870	23181	3433
871	23198	3405
872	23217	3377
873	23238	3350
874	23253	3321
875	23269	3293
876	23283	3265
877	23300	3237
878	23315	3209
879	23332	3181
880	23347	3153
881	23363	3125
882	23379	3097
883	23396	3070
884	23413	3042
885	23428	3014
886	23442	2986
887	23455	2958
888	23474	2931
889	23494	2903
890	23513	2876
891	23531	2849
892	23550	2821
893	23568	2794
894	23584	2766
895	23604	2739
896	23625	2712
897	23638	2685
898	23655	2657
899	23671	2630
900	23687	2602
901	23701	2575
902	23717	2547
903	23732	2520
904	23746	2492
905	23766	2465
906	23783	2438
907	23810	2412
908	23834	2386
909	23861	2359
910	23890	2334
911	23962	2312
912	24012	2288
913	24078	2265
914	24188	2247
915	24278	2226
916	24374	2206
917	24447	2183
918	24501	2159
919	24584	2137
920	24609	2110
921	24628	2083
922	24649	2056
923	24676	2029
924	24701	2002
925	24727	1976
926	24750	1949
927	24818	1925
928	24846	1898
929	24873	1872
930	24925	1847
931	24976	1822
932	25045	1798
933	25078	1772
934	25135	1747
935	25182	1721
936	25211	1695
937	25237	1668
938	25262	1641
939	25284	1613
940	25304	1586
941	25321	1559
942	25335	1531
943	25352	1503
944	25381	1477
945	25405	1450
946	25434	1423
947	25467	1396
948	25499	1370
949	25537	1344
950	25582	1318
951	25610	1291
952	25635	1264
953	25656	1237
954	25687	1210
955	25718	1183
956	25748	1156
957	25772	1129
958	25795	1102
959	25821	1075
960	25843	1048
961	25870	1021
962	25892	994
963	25907	967
964	25920	940
965	25940	913
966	25957	885
967	25978	858
968	26000	831
969	26018	804
970	26041	777
971	26064	750
972	26090	723
973	26115	697
974	26141	670
975	26160	643
976	26176	616
977	26197	589
978	26217	562
979	26237	535
980	26250	508
981	26264	481
982	26282	454
983	26303	427
984	26326	400
985	26341	374
986	26357	347
987	26373	320
988	26396	293
989	26422	266
990	26445	240
991	26474	213
992	26496	186
993	26518	160
994	26540	133
995	26564	106
996	26585	79
997	26610	53
998	26633	26
999	26652	0
